Time,CPU,RAM,Storage,Network,Total
02/10/23 23:35,0.0105,0.0027,0.297,0.00441,0.314
02/10/23 23:40,0.0105,0.0027,0.297,0.00444,0.314
02/10/23 23:45,0.0105,0.0027,0.297,0.0047,0.315
02/10/23 23:50,0.0105,0.0027,0.297,0.014,0.324
02/10/23 23:55,0.0105,0.0027,0.297,0.00444,0.314
03/10/23 0:00,0.0105,0.0027,0.297,0.00438,0.314
03/10/23 0:05,0.0105,0.0027,0.297,0.00443,0.314
03/10/23 0:10,0.0105,0.0027,0.297,0.00445,0.314
03/10/23 0:15,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 0:20,0.0105,0.0027,0.297,0.00444,0.314
03/10/23 0:25,0.0105,0.0027,0.297,0.00443,0.314
03/10/23 0:30,0.0105,0.0027,0.297,0.00439,0.314
03/10/23 0:35,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 0:40,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 0:45,0.0105,0.0027,0.297,0.00444,0.314
03/10/23 0:50,0.0105,0.0027,0.297,0.00628,0.316
03/10/23 0:55,0.0105,0.0027,0.297,0.00456,0.315
03/10/23 1:00,0.0105,0.0027,0.297,0.00465,0.315
03/10/23 1:05,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 1:10,0.0105,0.0027,0.297,0.014,0.324
03/10/23 1:15,0.0105,0.0027,0.297,0.00443,0.314
03/10/23 1:20,0.0105,0.0027,0.297,0.0044,0.314
03/10/23 1:25,0.0105,0.0027,0.297,0.00443,0.314
03/10/23 1:30,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 1:35,0.0105,0.0027,0.297,0.00445,0.314
03/10/23 1:40,0.0105,0.0027,0.297,0.0909,0.401
03/10/23 1:45,0.0105,0.0027,0.297,0.00443,0.314
03/10/23 1:50,0.0105,0.0027,0.297,0.122,0.432
03/10/23 1:55,0.0105,0.0027,0.297,0.0044,0.314
03/10/23 2:00,0.0105,0.0027,0.297,0.00445,0.314
03/10/23 2:05,0.0105,0.0027,0.297,0.0132,0.323
03/10/23 2:10,0.0105,0.0027,0.297,0.00468,0.315
03/10/23 2:15,0.0105,0.0027,0.297,0.00439,0.314
03/10/23 2:20,0.0105,0.0027,0.297,0.00441,0.314
03/10/23 2:25,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 2:30,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 2:35,0.0105,0.0027,0.297,0.00448,0.314
03/10/23 2:40,0.0105,0.0027,0.297,0.00439,0.314
03/10/23 2:45,0.0105,0.0027,0.297,0.00444,0.314
03/10/23 2:50,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 2:55,0.0105,0.0027,0.297,0.00442,0.314
03/10/23 3:00,0.0105,0.0027,0.297,0.00443,0.314
03/10/23 3:05,0.0105,0.0027,0.297,0.00435,0.314
03/10/23 3:10,0.0105,0.0027,0.297,0.00435,0.314
03/10/23 3:15,0.0105,0.0027,0.297,0.00439,0.314
03/10/23 3:20,0.0105,0.0027,0.297,0.00433,0.314
03/10/23 3:25,0.0105,0.0027,0.297,0.00438,0.314
03/10/23 3:30,0.0105,0.0027,0.297,0.00436,0.314
03/10/23 3:35,0.0105,0.0027,0.297,0.00465,0.315
03/10/23 3:40,0.0105,0.0027,0.297,0.00436,0.314
03/10/23 3:45,0.0105,0.0027,0.297,0.00437,0.314
03/10/23 3:50,0.0105,0.0027,0.297,0.00436,0.314
03/10/23 3:55,0.0105,0.0027,0.297,0.00464,0.315
03/10/23 4:00,0.0105,0.0027,0.297,0.00434,0.314
03/10/23 4:05,0.0105,0.0027,0.297,0.00437,0.314
03/10/23 4:10,0.0105,0.0027,0.297,0.00439,0.314
03/10/23 4:15,0.0105,0.0027,0.297,0.00435,0.314
