Time,Namespace,CPU,RAM,Total
02/10/23 23:35,costsense,0.0319,0.00556,0.0375
02/10/23 23:40,costsense,0.0319,0.00559,0.0375
02/10/23 23:45,costsense,0.0319,0.00554,0.0374
02/10/23 23:50,costsense,0.0319,0.00557,0.0375
02/10/23 23:55,costsense,0.0319,0.00554,0.0374
03/10/23 0:00,costsense,0.0319,0.00557,0.0375
03/10/23 0:05,costsense,0.0319,0.0055,0.0374
03/10/23 0:10,costsense,0.0319,0.00555,0.0374
03/10/23 0:15,costsense,0.0319,0.00556,0.0374
03/10/23 0:20,costsense,0.0319,0.00555,0.0374
03/10/23 0:25,costsense,0.0319,0.00555,0.0374
03/10/23 0:30,costsense,0.0319,0.00557,0.0374
03/10/23 0:35,costsense,0.0319,0.00563,0.0376
03/10/23 0:40,costsense,0.0319,0.00555,0.0374
03/10/23 0:45,costsense,0.0319,0.00554,0.0374
03/10/23 0:50,costsense,0.0321,0.00558,0.0377
03/10/23 0:55,costsense,0.0319,0.00556,0.0374
03/10/23 1:00,costsense,0.0319,0.0056,0.0375
03/10/23 1:05,costsense,0.0319,0.00557,0.0375
03/10/23 1:10,costsense,0.0319,0.0056,0.0375
03/10/23 1:15,costsense,0.0319,0.00555,0.0374
03/10/23 1:20,costsense,0.0319,0.00559,0.0375
03/10/23 1:25,costsense,0.0319,0.00552,0.0374
03/10/23 1:30,costsense,0.0319,0.00559,0.0375
03/10/23 1:35,costsense,0.0319,0.00557,0.0375
03/10/23 1:40,costsense,0.0323,0.00558,0.0379
03/10/23 1:45,costsense,0.0319,0.00557,0.0375
03/10/23 1:50,costsense,0.0319,0.00558,0.0375
03/10/23 1:55,costsense,0.0319,0.00558,0.0375
03/10/23 2:00,costsense,0.0319,0.00558,0.0375
03/10/23 2:05,costsense,0.0319,0.00556,0.0375
03/10/23 2:10,costsense,0.0319,0.00561,0.0375
03/10/23 2:15,costsense,0.0319,0.00554,0.0374
03/10/23 2:20,costsense,0.0319,0.0056,0.0375
03/10/23 2:25,costsense,0.0319,0.00561,0.0375
03/10/23 2:30,costsense,0.0319,0.00559,0.0375
03/10/23 2:35,costsense,0.032,0.00569,0.0377
03/10/23 2:40,costsense,0.0319,0.00563,0.0375
03/10/23 2:45,costsense,0.0319,0.0056,0.0375
03/10/23 2:50,costsense,0.0319,0.00556,0.0375
03/10/23 2:55,costsense,0.0319,0.00562,0.0375
03/10/23 3:00,costsense,0.0319,0.0056,0.0375
03/10/23 3:05,costsense,0.0319,0.00561,0.0375
03/10/23 3:10,costsense,0.0319,0.00558,0.0375
03/10/23 3:15,costsense,0.0319,0.00561,0.0375
03/10/23 3:20,costsense,0.0319,0.00557,0.0374
03/10/23 3:25,costsense,0.0319,0.00559,0.0375
03/10/23 3:30,costsense,0.0319,0.00562,0.0375
03/10/23 3:35,costsense,0.0319,0.00562,0.0375
03/10/23 3:40,costsense,0.0319,0.00558,0.0375
03/10/23 3:45,costsense,0.0319,0.00562,0.0375
03/10/23 3:50,costsense,0.0319,0.00558,0.0375
03/10/23 3:55,costsense,0.0319,0.00563,0.0375
03/10/23 4:00,costsense,0.0319,0.00561,0.0375
