,index,DateTime,Expected,Expected between(lower value),Expected between(upper value),Current value,anomaly,importance
0,0,2023-10-02 23:35:00,0.3178370555654805,0.30664477715039457,0.32833885558325226,0.314,0,0.0
1,1,2023-10-02 23:40:00,0.3178407691227671,0.30689785233506345,0.32894867731955324,0.314,0,0.0
2,2,2023-10-02 23:45:00,0.3178451476637001,0.30671768724385734,0.3295784411511531,0.315,0,0.0
3,3,2023-10-02 23:50:00,0.31784996029431234,0.3072063335031757,0.3290786592751335,0.324,0,0.0
4,4,2023-10-02 23:55:00,0.31785497401642687,0.3067234699843619,0.32901168438773176,0.314,0,0.0
5,5,2023-10-03 00:00:00,0.31785995532719985,0.3071436712444955,0.3290932578431975,0.314,0,0.0
6,6,2023-10-03 00:05:00,0.31786467183074757,0.30663630151863835,0.3295873455409849,0.314,0,0.0
7,7,2023-10-03 00:10:00,0.31786889384933187,0.3068831294543322,0.32851913764480195,0.314,0,0.0
8,8,2023-10-03 00:15:00,0.31787239602240097,0.30761105795345617,0.329055154676965,0.314,0,0.0
9,9,2023-10-03 00:20:00,0.3178749588809676,0.30665590357693323,0.3290851156638007,0.314,0,0.0
10,10,2023-10-03 00:25:00,0.3178763703864291,0.3067252922526592,0.32938320155203643,0.314,0,0.0
11,11,2023-10-03 00:30:00,0.3178764274205705,0.3064524502196337,0.32820775106004174,0.314,0,0.0
12,12,2023-10-03 00:35:00,0.3178749372169716,0.30779291280303145,0.3286526337573692,0.314,0,0.0
13,13,2023-10-03 00:40:00,0.3178717187220839,0.30687504062085486,0.32878143050246833,0.314,0,0.0
14,14,2023-10-03 00:45:00,0.31786660387547117,0.307371832990906,0.3292831938054623,0.314,0,0.0
15,15,2023-10-03 00:50:00,0.3178594387998511,0.3066448855929572,0.3289586380082994,0.316,0,0.0
16,16,2023-10-03 00:55:00,0.3178500848912206,0.30774496686863134,0.3294866622357416,0.315,0,0.0
17,17,2023-10-03 01:00:00,0.31783841980087796,0.30753768790484404,0.3289822125604979,0.315,0,0.0
18,18,2023-10-03 01:05:00,0.31782433830166584,0.30615890986066197,0.3291927711761108,0.314,0,0.0
19,19,2023-10-03 01:10:00,0.3178077530313916,0.3071005385319099,0.32912558151036697,0.324,0,0.0
20,20,2023-10-03 01:15:00,0.3177885951073055,0.3065900574619927,0.32881043533672477,0.314,0,0.0
21,21,2023-10-03 01:20:00,0.317766814607622,0.30710959746261945,0.32883056117420734,0.314,0,0.0
22,22,2023-10-03 01:25:00,0.3177423809147089,0.3068151174150599,0.3286666833735265,0.314,0,0.0
23,23,2023-10-03 01:30:00,0.3177152829177652,0.3065093174165859,0.3292727177102635,0.314,0,0.0
24,24,2023-10-03 01:35:00,0.3176855290733578,0.30618152943107857,0.3288617890255028,0.314,0,0.0
25,25,2023-10-03 01:40:00,0.3176531473219689,0.30603773998256295,0.3282038353491824,0.401,1,0.18153657020154018
26,26,2023-10-03 01:45:00,0.31761818486177484,0.30687348184535246,0.32802851573377884,0.314,0,0.0
27,27,2023-10-03 01:50:00,0.3175807077802832,0.30670291870846705,0.328697293004632,0.432,1,0.2391266365633518
28,28,2023-10-03 01:55:00,0.3175408005464743,0.3065061633901137,0.3291784357760664,0.314,0,0.0
29,29,2023-10-03 02:00:00,0.31749856536685994,0.3066695902641731,0.32900198280771364,0.314,0,0.0
30,30,2023-10-03 02:05:00,0.31745412141001556,0.3064660309022008,0.328182133850093,0.323,0,0.0
31,31,2023-10-03 02:10:00,0.31740760390463996,0.30660194106354677,0.3284816383163707,0.315,0,0.0
32,32,2023-10-03 02:15:00,0.3173591631177883,0.3064642651891708,0.32794298224258295,0.314,0,0.0
33,33,2023-10-03 02:20:00,0.31730896322105917,0.3065130588571657,0.32833790886308517,0.314,0,0.0
34,34,2023-10-03 02:25:00,0.3172571810520688,0.30645385914930995,0.32815844086977775,0.314,0,0.0
35,35,2023-10-03 02:30:00,0.3172040047805993,0.3065576574965198,0.3274451734304213,0.314,0,0.0
36,36,2023-10-03 02:35:00,0.3171496324896826,0.30622513472529195,0.327720366578966,0.314,0,0.0
37,37,2023-10-03 02:40:00,0.3170942706810842,0.30578903938965146,0.3279918801061194,0.314,0,0.0
38,38,2023-10-03 02:45:00,0.3170381327164468,0.3060601150543175,0.32806937789814955,0.314,0,0.0
39,39,2023-10-03 02:50:00,0.31698143720643135,0.3060167829020711,0.32809001293842543,0.314,0,0.0
40,40,2023-10-03 02:55:00,0.31692440635843633,0.3051650580541654,0.3281074525537251,0.314,0,0.0
41,41,2023-10-03 03:00:00,0.31686726429584616,0.30612432700765374,0.3283122822399873,0.314,0,0.0
42,42,2023-10-03 03:05:00,0.316810235361618,0.3050110231344132,0.32780018693275875,0.314,0,0.0
43,43,2023-10-03 03:10:00,0.3167535424180765,0.30546551793213284,0.32759800238119946,0.314,0,0.0
44,44,2023-10-03 03:15:00,0.31669740515614725,0.30600141725671337,0.327519631413775,0.314,0,0.0
45,45,2023-10-03 03:20:00,0.3166420384260078,0.305763704226532,0.32743273121187355,0.314,0,0.0
46,46,2023-10-03 03:25:00,0.316587650603092,0.30599244190101876,0.32726994232978696,0.314,0,0.0
47,47,2023-10-03 03:30:00,0.31653444199994374,0.3055006262721731,0.3275992411227502,0.314,0,0.0
48,48,2023-10-03 03:35:00,0.3164826033371347,0.30512983213560674,0.3283688632826996,0.315,0,0.0
49,49,2023-10-03 03:40:00,0.3164323142843572,0.30544276894726036,0.32753538223021134,0.314,0,0.0
50,50,2023-10-03 03:45:00,0.31638374208249254,0.3045120373208119,0.3267741822974981,0.314,0,0.0
51,51,2023-10-03 03:50:00,0.3163370402575509,0.30529953136176635,0.3277644919978161,0.314,0,0.0
52,52,2023-10-03 03:55:00,0.31629234743614937,0.30515754537802836,0.32741608349569795,0.315,0,0.0
53,53,2023-10-03 04:00:00,0.3162497862712118,0.3055556866109088,0.32693071535270884,0.314,0,0.0
54,54,2023-10-03 04:05:00,0.31620946248698606,0.30473866924040394,0.32727691356684746,0.314,0,0.0
55,55,2023-10-03 04:10:00,0.31617146404978075,0.30465179745348814,0.3270448328501537,0.314,0,0.0
56,56,2023-10-03 04:15:00,0.3161358604711406,0.3049142946458507,0.3275106255450221,0.314,0,0.0
57,57,2023-10-03 04:20:00,0.31610270224998693,0.3053713442510495,0.32785394892086583,0.314,0,0.0
58,58,2023-10-03 04:25:00,0.31607202045633803,0.30538539533203546,0.3272842944362196,0.314,0,0.0
59,59,2023-10-03 04:30:00,0.31604382646146817,0.30505231987607184,0.3266825159565949,0.314,0,0.0
60,60,2023-10-03 04:35:00,0.31601811181612754,0.305172247344321,0.3269766765834238,0.314,0,0.0
61,61,2023-10-03 04:40:00,0.3159948482785315,0.30476194920847044,0.32728771053437206,0.314,0,0.0
62,62,2023-10-03 04:45:00,0.31597398799161946,0.305448420830393,0.32725367090743146,0.314,0,0.0
63,63,2023-10-03 04:50:00,0.3159554638090628,0.3052618321017258,0.3260745316953375,0.314,0,0.0
64,64,2023-10-03 04:55:00,0.3159391897676759,0.3048887340262844,0.3273361114888694,0.314,0,0.0
65,65,2023-10-03 05:00:00,0.31592506170317997,0.30509885860745994,0.32668786596881233,0.314,0,0.0
66,66,2023-10-03 05:05:00,0.31591295800490365,0.304848082163929,0.3270624451720541,0.314,0,0.0
67,67,2023-10-03 05:10:00,0.3159027405040857,0.30543950583309454,0.32717899471407935,0.314,0,0.0
68,68,2023-10-03 05:15:00,0.3158942554896402,0.30459344420481616,0.32636400813007,0.314,0,0.0
69,69,2023-10-03 05:20:00,0.3158873348438912,0.3044678749076245,0.32682013055721365,0.314,0,0.0
70,70,2023-10-03 05:25:00,0.3158817972902129,0.30503934392052207,0.32717410027024335,0.314,0,0.0
71,71,2023-10-03 05:30:00,0.3158774497434475,0.30389494382821997,0.3262914049365631,0.314,0,0.0
72,72,2023-10-03 05:35:00,0.31587408875349443,0.3042974626113434,0.3269792630967277,0.314,0,0.0
73,73,2023-10-03 05:40:00,0.31587150203130715,0.30506653540355794,0.3273037505537542,0.314,0,0.0
74,74,2023-10-03 05:45:00,0.31586947004634097,0.30476614966712673,0.32752074999160896,0.314,0,0.0
75,75,2023-10-03 05:50:00,0.3158677676835278,0.3045317392565441,0.32830004841037763,0.314,0,0.0
76,76,2023-10-03 05:55:00,0.3158661659479433,0.30419829415937477,0.3273590022193751,0.314,0,0.0
77,77,2023-10-03 06:00:00,0.3158644337044101,0.30407450053768353,0.32687608434090587,0.314,0,0.0
78,78,2023-10-03 06:05:00,0.315862339439483,0.3044065872125387,0.32699716299187176,0.314,0,0.0
79,79,2023-10-03 06:10:00,0.315859653032078,0.305195596179285,0.3261683077655353,0.314,0,0.0
80,80,2023-10-03 06:15:00,0.31585614752099245,0.3046031069312565,0.32692524155662606,0.314,0,0.0
81,81,2023-10-03 06:20:00,0.315851600854992,0.30552475124115164,0.3261060519414756,0.314,0,0.0
82,82,2023-10-03 06:25:00,0.3158457976131477,0.30541033332508993,0.3270115759151157,0.315,0,0.0
83,83,2023-10-03 06:30:00,0.31583853068257406,0.30398832768551853,0.3257684801165414,0.315,0,0.0
84,84,2023-10-03 06:35:00,0.3158296028809609,0.30474351431731056,0.32645693974666,0.314,0,0.0
85,85,2023-10-03 06:40:00,0.31581882851201304,0.3041066652201664,0.3259008391223276,0.314,0,0.0
86,86,2023-10-03 06:45:00,0.31580603484378744,0.30500469699713456,0.3271162472945586,0.314,0,0.0
87,87,2023-10-03 06:50:00,0.3157910634906174,0.304356269890118,0.32710956445498635,0.315,0,0.0
88,88,2023-10-03 06:55:00,0.31577377170444304,0.3046047002243478,0.32643802289066204,0.314,0,0.0
89,89,2023-10-03 07:00:00,0.3157540335505851,0.3044495545268668,0.3269651664252609,0.315,0,0.0
90,90,2023-10-03 07:05:00,0.31573174096556944,0.3048812522438302,0.3263418347238184,0.314,0,0.0
91,91,2023-10-03 07:10:00,0.31570680468865464,0.3048655931118551,0.32631305137413597,0.314,0,0.0
92,92,2023-10-03 07:15:00,0.3156791550597983,0.3050000365602388,0.32663642451912656,0.314,0,0.0
93,93,2023-10-03 07:20:00,0.31564874267754395,0.30416857982682366,0.3269942975837354,0.314,0,0.0
94,94,2023-10-03 07:25:00,0.3156155389121387,0.3039476205646269,0.32630425277858927,0.314,0,0.0
95,95,2023-10-03 07:30:00,0.3155795362697182,0.30414629834551116,0.3256714639770498,0.314,0,0.0
96,96,2023-10-03 07:35:00,0.3155407486045259,0.30466187623768765,0.32694885537236795,0.314,0,0.0
97,97,2023-10-03 07:40:00,0.31549921117773416,0.3045461668477652,0.32661196962895633,0.314,0,0.0
98,98,2023-10-03 07:45:00,0.3154549805618876,0.30414462332319103,0.32595653581957185,0.315,0,0.0
99,99,2023-10-03 07:50:00,0.31540813439122933,0.3040150553896773,0.3259946178399546,0.314,0,0.0
100,100,2023-10-03 07:55:00,0.3153587709599334,0.3047847839355213,0.32644801665258644,0.314,0,0.0
101,101,2023-10-03 08:00:00,0.3153070086705623,0.30456595596024283,0.32559256099336403,0.314,0,0.0
102,102,2023-10-03 08:05:00,0.3152529853370881,0.3041031826905948,0.32565400460576455,0.314,0,0.0
